EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:36:24,-1.0,-762.0,51.0
2025-10-28 09:36:25,0.0,-100760.0,-64.0
2025-10-28 09:36:26,0.0,-908.0,100.0
2025-10-28 09:36:27,0.0,-873.0,-83.0
2025-10-28 09:36:28,0.0,-670.0,-62.0
2025-10-28 09:36:29,0.0,-774.0,13.0
2025-10-28 09:36:30,0.0,-877.0,-48.0
2025-10-28 09:36:31,1.0,-316.0,95.0
2025-10-28 09:36:32,0.0,-318.0,-54.0
2025-10-28 09:36:33,0.0,-175.0,26.0
2025-10-28 09:36:34,0.0,-163.0,176.0
2025-10-28 09:36:35,0.0,-63.0,25.0
2025-10-28 09:36:36,0.0,-177.0,-58.0
2025-10-28 09:36:37,0.0,-548.0,193.0
2025-10-28 09:36:38,0.0,-359.0,-207.0
2025-10-28 09:36:39,0.0,-211.0,-51.0
2025-10-28 09:36:40,0.0,-244.0,-22.0
2025-10-28 09:36:41,0.0,132.0,-84.0
2025-10-28 09:36:42,0.0,289.0,-172.0
2025-10-28 09:36:43,0.0,350.0,-139.0
2025-10-28 09:36:44,0.0,678.0,-171.0
2025-10-28 09:36:45,0.0,100534.0,48.0
2025-10-28 09:36:46,0.0,100350.0,74.0
2025-10-28 09:36:47,0.0,251.0,68.0
2025-10-28 09:36:48,1.0,387.0,-127.0
2025-10-28 09:36:49,0.0,101741.0,-1.0
2025-10-28 09:36:50,-1.0,-99868.0,192.0
2025-10-28 09:36:51,0.0,599.0,0.0
2025-10-28 09:36:52,0.0,746.0,-43.0
2025-10-28 09:36:53,-1.0,100724.0,-276.0
2025-10-28 09:36:54,0.0,607.0,98.0
2025-10-28 09:36:55,0.0,633.0,-52.0
2025-10-28 09:36:56,0.0,766.0,-126.0
2025-10-28 09:36:57,0.0,538.0,71.0
2025-10-28 09:36:58,0.0,480.0,-103.0
2025-10-28 09:36:59,0.0,791.0,-181.0
2025-10-28 09:37:00,0.0,814.0,-35.0
2025-10-28 09:37:01,0.0,573.0,4.0
2025-10-28 09:37:02,0.0,590.0,0.0
2025-10-28 09:37:03,0.0,372.0,147.0
2025-10-28 09:37:04,1.0,203.0,247.0
2025-10-28 09:37:05,1.0,54.0,23.0
2025-10-28 09:37:06,0.0,97.0,41.0
2025-10-28 09:37:07,0.0,113.0,4.0
2025-10-28 09:37:08,0.0,286.0,159.0
2025-10-28 09:37:09,0.0,324.0,6.0
2025-10-28 09:37:10,0.0,542.0,13.0
2025-10-28 09:37:11,0.0,660.0,170.0
2025-10-28 09:37:12,0.0,893.0,-143.0
2025-10-28 09:37:13,-1.0,691.0,262.0
2025-10-28 09:37:14,0.0,100252.0,308.0
2025-10-28 09:37:15,1.0,100771.0,-162.0
2025-10-28 09:37:16,0.0,824.0,71.0
2025-10-28 09:37:17,0.0,649.0,139.0
2025-10-28 09:37:18,0.0,434.0,198.0
2025-10-28 09:37:19,0.0,749.0,-179.0
2025-10-28 09:37:20,0.0,100312.0,303.0
2025-10-28 09:37:21,0.0,100213.0,65.0
2025-10-28 09:37:22,0.0,100342.0,-82.0
2025-10-28 09:37:23,0.0,632.0,-80.0
2025-10-28 09:37:24,0.0,100318.0,32.0
2025-10-28 09:37:25,4.0,101971.0,134.0
2025-10-28 09:37:26,-1.0,-100001.0,-130.0
2025-10-28 09:37:27,0.0,-100354.0,129.0
2025-10-28 09:37:28,0.0,-354.0,31.0
2025-10-28 09:37:29,0.0,-114.0,93.0
2025-10-28 09:37:30,0.0,-347.0,302.0
2025-10-28 09:37:31,0.0,181.0,-60.0
2025-10-28 09:37:32,-1.0,-42.0,-82.0
2025-10-28 09:37:33,0.0,37.0,70.0
2025-10-28 09:37:34,0.0,85.0,17.0
2025-10-28 09:37:35,0.0,-105.0,105.0
2025-10-28 09:37:36,0.0,-95.0,4.0
2025-10-28 09:37:37,0.0,-99943.0,-77.0
2025-10-28 09:37:38,0.0,-99926.0,185.0
2025-10-28 09:37:39,0.0,111.0,-179.0
2025-10-28 09:37:40,0.0,-99668.0,-137.0
2025-10-28 09:37:41,0.0,-100031.0,0.0
2025-10-28 09:37:42,0.0,-100153.0,-133.0
2025-10-28 09:37:43,-5.0,-2194.0,-1.0
2025-10-28 09:37:44,0.0,-100091.0,152.0
2025-10-28 09:37:45,3.0,-505.0,250.0
2025-10-28 09:37:46,-2.0,-709.0,-190.0
2025-10-28 09:37:47,0.0,-740.0,212.0
2025-10-28 09:37:48,0.0,-812.0,268.0
2025-10-28 09:37:49,0.0,-764.0,-19.0
2025-10-28 09:37:50,0.0,-543.0,-155.0
2025-10-28 09:37:51,0.0,-104.0,-2.0
2025-10-28 09:37:52,0.0,53.0,-180.0
2025-10-28 09:37:53,0.0,-132.0,10.0
2025-10-28 09:37:54,0.0,-270.0,75.0
2025-10-28 09:37:55,0.0,-75.0,-102.0
2025-10-28 09:37:56,0.0,-319.0,148.0
2025-10-28 09:37:57,0.0,-307.0,43.0
2025-10-28 09:37:58,0.0,-162.0,-6.0
2025-10-28 09:37:59,-1.0,-135.0,-81.0
2025-10-28 09:38:00,0.0,349.0,-167.0
2025-10-28 09:38:01,0.0,-25.0,68.0
2025-10-28 09:38:02,0.0,16.0,-88.0
2025-10-28 09:38:03,0.0,345.0,-95.0
2025-10-28 09:38:04,0.0,172.0,88.0
2025-10-28 09:38:05,0.0,-393.0,242.0
2025-10-28 09:38:06,0.0,99676.0,-4.0
2025-10-28 09:38:07,1.0,101593.0,-9.0
2025-10-28 09:38:08,-1.0,101573.0,77.0
2025-10-28 09:38:09,0.0,99791.0,57.0
2025-10-28 09:38:10,0.0,101724.0,-221.0
2025-10-28 09:38:11,0.0,-415.0,224.0
2025-10-28 09:38:12,0.0,-243.0,-74.0
2025-10-28 09:38:13,-1.0,-332.0,100.0
2025-10-28 09:38:14,1.0,-476.0,253.0
2025-10-28 09:38:15,0.0,-789.0,-8.0
2025-10-28 09:38:16,0.0,-657.0,219.0
2025-10-28 09:38:17,0.0,-680.0,89.0
2025-10-28 09:38:18,0.0,-672.0,9.0
2025-10-28 09:38:19,0.0,-553.0,27.0
2025-10-28 09:38:20,0.0,-657.0,154.0
2025-10-28 09:38:21,0.0,-124.0,-190.0
2025-10-28 09:38:22,-1.0,-281.0,277.0
2025-10-28 09:38:23,0.0,-282.0,88.0
2025-10-28 09:38:24,3.0,-485.0,-48.0
2025-10-28 09:38:25,0.0,-557.0,-238.0
2025-10-28 09:38:26,0.0,-738.0,-52.0
2025-10-28 09:38:27,0.0,-608.0,37.0
2025-10-28 09:38:28,0.0,-768.0,119.0
2025-10-28 09:38:29,0.0,-652.0,-10.0
2025-10-28 09:38:30,0.0,-437.0,-191.0
2025-10-28 09:38:31,0.0,-696.0,-14.0
2025-10-28 09:38:32,0.0,-672.0,-2.0
2025-10-28 09:38:33,0.0,-806.0,29.0
2025-10-28 09:38:34,-1.0,-844.0,-162.0
2025-10-28 09:38:35,0.0,-576.0,-32.0
2025-10-28 09:38:36,0.0,-453.0,-134.0
2025-10-28 09:38:37,0.0,-515.0,48.0
2025-10-28 09:38:38,0.0,-363.0,-113.0
2025-10-28 09:38:39,0.0,-163.0,-403.0
2025-10-28 09:38:40,0.0,-394.0,84.0
2025-10-28 09:38:41,0.0,-275.0,12.0
2025-10-28 09:38:42,0.0,-329.0,292.0
2025-10-28 09:38:43,0.0,-565.0,378.0
